Package_Name,Package_SKU,Component_Product,Product_SKU,Quantity
البكج الصحي (العرض الخاص),NationalDay_6-priv,مقرمشات صحية,CRACK4,1
البكج الصحي (العرض الخاص),NationalDay_6-priv,حمص صفوة الجوف,hmous1,6
البكج الصحي (العرض الخاص),NationalDay_6-priv,عسل سدر ربع كيلو,HONY250M,1
البكج الصحي (العرض الخاص),NationalDay_6-priv,زيت زيتون بكر قطفة أولى 2لتر,OLIVEOILE2000M,1
البكج الصحي (العرض الخاص),NationalDay_6-priv,زعتر بري فاخر ربع كيلو,THYME250M,2
العرض الشامل,NationalDay_8,زيت زيتون بكر قطفة أولى 3 لتر,BXTH51003,1
العرض الشامل,NationalDay_8,مقرمشات صحية,CRACK4,1
العرض الشامل,NationalDay_8,حمص صفوة الجوف,hmous1,6
العرض الشامل,NationalDay_8,عسل سدر ربع كيلو,HONY250M,2
العرض الشامل,NationalDay_8,زيت زيتون بكر قطفة أولى 1لتر,OLIVEOILE1000M,2
العرض الشامل,NationalDay_8,زعتر بري فاخر ربع كيلو,THYME250M,2
بركة رمضان,BARAKAH46,حمص صفوة الجوف,hmous1,6
بركة رمضان,BARAKAH46,زيت زيتون بكر قطفة أولى 2لتر,OLIVEOILE2000M,1
بركة رمضان,BARAKAH46,زعتر بري فاخر ربع كيلو,THYME250M,1
بركة رمضان,BARAKAH46,بكج مخللات صفوة الجوف,MQL-PK01,1
بكج النشاط,OLVHNTH-HM12-GRN2,قرانولا الفول السوداني والتشوكليت,GRN-PN-CH-003,1
بكج النشاط,OLVHNTH-HM12-GRN2,تستي قرانولا,GRN-TST-004,1
بكج النشاط,OLVHNTH-HM12-GRN2,بكج حمص صفوة الجوف 12 عبوة,hmousbox12,1
بكج النشاط,OLVHNTH-HM12-GRN2,عسل سدر ربع كيلو,HONY250M,1
بكج النشاط,OLVHNTH-HM12-GRN2,زيت زيتون بكر قطفة أولى 1لتر,OLIVEOILE1000M,1
بكج النشاط,OLVHNTH-HM12-GRN2,زعتر بري فاخر ربع كيلو,THYME250M,1
بكج بهارات غير مطحونة,COSH-B-PKG,ملح الهيمالايا الوردي,COSH-B-HPS-7,1
بكج بهارات غير مطحونة,COSH-B-PKG,كوشان,COSH-B-KSH-11,1
بكج بهارات غير مطحونة,COSH-B-PKG,فلفل مشكل,COSH-B-MPF-12,1
بكج بهارات غير مطحونة,COSH-B-PKG,بهارات عثمانية,COSH-B-OTT-9,1
بكج بهارات غير مطحونة,COSH-B-PKG,الريكانو,COSH-B-RCN-8,1
بكج بهارات غير مطحونة,COSH-B-PKG,فلفل حار (غير مطحون),COSH-B-CHP-10,1
بكج بهارات مطحونة,COSH-A-PKG,بديل مكعبات الدجاج,COSH-A-BDC-4,1
بكج بهارات مطحونة,COSH-A-PKG,بهارات الكبسة,COSH-A-BKC-1,1
بكج بهارات مطحونة,COSH-A-PKG,بهارات المندي,COSH-A-MND-6,1
بكج بهارات مطحونة,COSH-A-PKG,بهارات عثمانية (مطحونه),COSH-A-OTT-5,1
بكج بهارات مطحونة,COSH-A-PKG,فلفل حار,COSH-B-CHP-10,1
بكج بهارات مطحونة,COSH-A-PKG,الكاجون,COSH-A-CAY-3,1
بكج مخبوزات ميلفية,MF-PK-MX,مقرمشات ميلفية بذور الكتان,MF-CR-LS001,1
بكج مخبوزات ميلفية,MF-PK-MX,مقرمشات ميلفية حبة البركة,MF-CR-NB003,1
بكج مخبوزات ميلفية,MF-PK-MX,مقرمشات ميلفية سادة,MF-CR-PL002,1
بكج مخبوزات ميلفية,MF-PK-MX,كرتون ملفيه,MLF-25,1
بكج مخللات,MQL-PK01,كرتون مخللات,BOX-PICKLES,1
بكج مخللات,MQL-PK01,زيتون اسود محشي بالجبنة,MQL-BOS-04,1
بكج مخللات,MQL-PK01,فلفل كرزي محشي بالجبنة,MQL-CHP-01,1
بكج مخللات,MQL-PK01,زيتون اخضر محشي بالجبنة,MQL-GOS-05,1
بكج مخللات,MQL-PK01,زيتون مشوي,MQL-RO-03,1
بكج مخللات,MQL-PK01,فلفل اصفر محشي بالجبنة,MQL-YP-02,1
بوكس الزيت 3 لتر والزعتر,BXTH510033,زيت زيتون بكر قطفة أولى 3 لتر,BXTH51003,1
بوكس الزيت 3 لتر والزعتر,BXTH510033,زعتر بري فاخر 1 كيلو,THYME1000M,1
تشكيلة اعواد صفوة الجوف الصغيرة,CRISPYSAF-PACK5,أصابع شطة,CRISPYSAF2,1
تشكيلة اعواد صفوة الجوف الصغيرة,CRISPYSAF-PACK5,أصابع ذرة حلوة,CRISPYSAF7,1
تشكيلة اعواد صفوة الجوف الصغيرة,CRISPYSAF-PACK5,أصابع بصل,CRISPYSAF8,1
تشكيلة اعواد صفوة الجوف الصغيرة .,CRISPYSAF-PACK5,أصابع شطة,CRISPYSAF2,1
تشكيلة اعواد صفوة الجوف الصغيرة .,CRISPYSAF-PACK5,أصابع كتشب,CRISPYSAF5,1
تشكيلة اعواد صفوة الجوف الصغيرة .,CRISPYSAF-PACK5,أصابع ذرة حلوة,CRISPYSAF7,1
تشكيلة اعواد صفوة الجوف الصغيرة .,CRISPYSAF-PACK5,أصابع بصل,CRISPYSAF8,1
تشكيلة اعواد صفوة الجوف الصغيرة .,CRISPYSAF-PACK5,أصابع مشاوي,CRISPYSAF9,1
