رقم الطلب,حالة الطلب,المدينة,SKU,طريقة الدفع,تاريخ الطلب
55615648,تم التوصيل,Hafar Al Batin,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55661815,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55624221,تم التوصيل,Sharorah,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],تمارا,01/01/2023
55602423,تم التوصيل,Medina,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55570690,تم التوصيل,Al Qurayyat,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],مدى,01/01/2023
55633144,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55653325,تم التوصيل,Riyadh,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],دفع عند الإستلام,01/01/2023
55661183,تم التوصيل,Jeddah,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],دفع عند الإستلام,01/01/2023
55568981,تم التوصيل,Dammam,"['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)','(SKU: 1LM6M)عرض الشتوية(Qty: 1)']",تمارا,01/01/2023
55669665,تم التوصيل,Al Khobar,"['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)','(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)']",دفع عند الإستلام,01/01/2023
55641938,تم التوصيل,New Muwayh,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],مدى,01/01/2023
55578049,تم التوصيل,Buraydah,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],مدى,01/01/2023
55610375,تم التوصيل,Tabuk,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55643976,تم التوصيل,Al Jubail,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55581926,تم التوصيل,Bishah,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55597128,مسترجع,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55578168,تم التوصيل,Hafar Al Batin,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],دفع عند الإستلام,01/01/2023
55630064,تم التوصيل,Mecca,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55648411,تم التوصيل,Riyadh,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],دفع عند الإستلام,01/01/2023
55646493,تم التوصيل,Riyadh,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],دفع عند الإستلام,01/01/2023
55644076,تم التوصيل,Riyadh,"['(SKU: OLIVEOILE1000M)زيت زيتون بكر قطفة أولى 1لتر(Qty: 1)','(SKU: HONY500M)عسل سدر 0.5 كيلو(Qty: 2)']",مدى,01/01/2023
55660406,تم التوصيل,Taif,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55660675,تم التوصيل,Riyadh,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],مدى,01/01/2023
55649167,تم التوصيل,Jeddah,['(SKU: 2LM3M)عرض الزيت 6 لتر(Qty: 1)'],تمارا,01/01/2023
55626099,تم التوصيل,Al Jubail,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55632718,تم التوصيل,Az Zulfi,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55568100,تم التوصيل,Jeddah,"['(SKU: 1LM6M)عرض الشتوية(Qty: 1)','(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 2)']",البطاقة الإئتمانية,01/01/2023
55652993,تم التوصيل,Medina,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],تمارا,01/01/2023
55605193,تم التوصيل,Jeddah,['(SKU: THYME1000M)زعتر بري فاخر 1 كيلو(Qty: 1)'],دفع عند الإستلام,01/01/2023
55645120,تم التوصيل,Taif,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],تمارا,01/01/2023
55676403,تم التوصيل,Bishah,['(SKU: 1LM6M)عرض الشتوية(Qty: 1)'],مدى,01/01/2023
55568077,تم التوصيل,Jeddah,['(SKU: OLIVEOILE4000M)زيت زيتون بكر قطفة أولى 4لتر(Qty: 1)'],تمارا,01/01/2023
55642667,تم التوصيل,Al Ahsa,['(SKU: SP250MM)عرض صفوة الجوف الوسط(Qty: 1)'],البطاقة الإئتمانية,01/01/2023
55639085,تم التوصيل,Mecca,['(SKU: HONY500M)عسل سدر 0.5 كيلو(Qty: 1)'],مدى,01/01/2023
55569373,تم التوصيل,Riyadh,['(SKU: 4LM3M)عرض الزيت 12 لتر(Qty: 1)'],تمارا,01/01/2023
